article,highlights
"Translate phoneme to English sentence: ['AY', 'SIL', 'T', 'EH', 'L', 'SIL', 'Y', 'UW', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'N', 'AA', 'T', 'SIL', 'HH', 'AH', 'NG', 'G', 'R', 'IY', 'SIL']",I tell you my family is not hungry
"Translate phoneme to English sentence: ['AY', 'SIL', 'T', 'EH', 'L', 'SIL', 'Y', 'UW', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'N', 'AA', 'T', 'SIL', 'HH', 'AH', 'NG', 'G', 'R', 'IY', 'SIL']",I tell you my family is not hungry
"Translate phoneme to English sentence: ['B', 'R', 'IH', 'NG', 'SIL', 'M', 'AY', 'SIL', 'K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER', 'SIL', 'HH', 'IY', 'R', 'SIL', 'P', 'L', 'IY', 'Z', 'SIL']",Bring my computer here please
"Translate phoneme to English sentence: ['B', 'R', 'IH', 'NG', 'SIL', 'M', 'AY', 'SIL', 'K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER', 'SIL', 'HH', 'IY', 'R', 'SIL', 'P', 'L', 'IY', 'Z', 'SIL']",Bring my computer here please
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'HH', 'OW', 'P', 'SIL', 'DH', 'AE', 'T', 'SIL']",They hope that
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'HH', 'OW', 'P', 'SIL', 'DH', 'AE', 'T', 'SIL']",They hope that
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'L', 'AY', 'K', 'SIL', 'IH', 'T', 'SIL']",You like it
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'L', 'AY', 'K', 'SIL', 'IH', 'T', 'SIL']",You like it
"Translate phoneme to English sentence: ['T', 'EH', 'L', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'DH', 'EY', 'SIL', 'AA', 'R', 'SIL', 'N', 'AA', 'T', 'SIL', 'HH', 'AH', 'NG', 'G', 'R', 'IY', 'SIL']",Tell my family they are not hungry
"Translate phoneme to English sentence: ['T', 'EH', 'L', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'DH', 'EY', 'SIL', 'AA', 'R', 'SIL', 'N', 'AA', 'T', 'SIL', 'HH', 'AH', 'NG', 'G', 'R', 'IY', 'SIL']",Tell my family they are not hungry
"Translate phoneme to English sentence: ['K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER', 'SIL', 'IH', 'Z', 'SIL', 'N', 'AA', 'T', 'SIL', 'OW', 'K', 'EY', 'SIL']",Computer is not okay
"Translate phoneme to English sentence: ['K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER', 'SIL', 'IH', 'Z', 'SIL', 'N', 'AA', 'T', 'SIL', 'OW', 'K', 'EY', 'SIL']",Computer is not okay
"Translate phoneme to English sentence: ['D', 'UW', 'SIL', 'IH', 'T', 'SIL']",Do it
"Translate phoneme to English sentence: ['D', 'UW', 'SIL', 'IH', 'T', 'SIL']",Do it
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'N', 'IY', 'D', 'SIL', 'M', 'AY', 'SIL', 'G', 'L', 'AE', 'S', 'AH', 'Z', 'SIL']",They need my glasses
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'N', 'IY', 'D', 'SIL', 'M', 'AY', 'SIL', 'G', 'L', 'AE', 'S', 'AH', 'Z', 'SIL']",They need my glasses
"Translate phoneme to English sentence: ['AY', 'SIL', 'AE', 'M', 'SIL', 'K', 'L', 'OW', 'S', 'ER', 'SIL']",I am closer
"Translate phoneme to English sentence: ['AY', 'SIL', 'AE', 'M', 'SIL', 'K', 'L', 'OW', 'Z', 'ER', 'SIL']",I am closer
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'N', 'IY', 'D', 'SIL', 'IH', 'T', 'SIL', 'AW', 'T', 'S', 'AY', 'D', 'SIL']",They need it outside
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'N', 'IY', 'D', 'SIL', 'IH', 'T', 'SIL', 'AW', 'T', 'S', 'AY', 'D', 'SIL']",They need it outside
"Translate phoneme to English sentence: ['Y', 'EH', 'S', 'SIL', 'AY', 'SIL', 'D', 'UW', 'SIL']",Yes I do
"Translate phoneme to English sentence: ['Y', 'EH', 'S', 'SIL', 'AY', 'SIL', 'D', 'UW', 'SIL']",Yes I do
"Translate phoneme to English sentence: ['T', 'EH', 'L', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'Y', 'UW', 'SIL', 'AA', 'R', 'SIL', 'HH', 'AH', 'NG', 'G', 'R', 'IY', 'SIL']",Tell my nurse you are hungry
"Translate phoneme to English sentence: ['T', 'EH', 'L', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'Y', 'UW', 'SIL', 'AA', 'R', 'SIL', 'HH', 'AH', 'NG', 'G', 'R', 'IY', 'SIL']",Tell my nurse you are hungry
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'F', 'IY', 'L', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'G', 'UH', 'D', 'SIL']",They feel very good
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'F', 'IY', 'L', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'G', 'UH', 'D', 'SIL']",They feel very good
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL', 'AH', 'P', 'SIL']",My family is going up
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL', 'AH', 'P', 'SIL']",My family is going up
"Translate phoneme to English sentence: ['G', 'UH', 'D', 'B', 'AY', 'SIL']",Goodbye
"Translate phoneme to English sentence: ['G', 'UH', 'D', 'B', 'AY', 'SIL']",Goodbye
"Translate phoneme to English sentence: ['AA', 'R', 'SIL', 'DH', 'EY', 'SIL', 'TH', 'ER', 'S', 'T', 'IY', 'SIL']",Are they thirsty
"Translate phoneme to English sentence: ['AA', 'R', 'SIL', 'DH', 'EY', 'SIL', 'TH', 'ER', 'S', 'T', 'IY', 'SIL']",Are they thirsty
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'OW', 'P', 'SIL', 'IH', 'T', 'SIL', 'IH', 'Z', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL']",I hope it is going
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'OW', 'P', 'SIL', 'IH', 'T', 'SIL', 'IH', 'Z', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL']",I hope it is going
"Translate phoneme to English sentence: ['P', 'L', 'IY', 'Z', 'SIL', 'N', 'AA', 'T', 'SIL', 'L', 'AY', 'K', 'SIL', 'DH', 'AE', 'T', 'SIL']",Please not like that
"Translate phoneme to English sentence: ['P', 'L', 'IY', 'Z', 'SIL', 'N', 'AA', 'T', 'SIL', 'L', 'AY', 'K', 'SIL', 'DH', 'AE', 'T', 'SIL']",Please not like that
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'OW', 'P', 'SIL', 'IH', 'T', 'SIL', 'IH', 'Z', 'SIL', 'G', 'UH', 'D', 'SIL']",I hope it is good
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'OW', 'P', 'SIL', 'IH', 'T', 'SIL', 'IH', 'Z', 'SIL', 'G', 'UH', 'D', 'SIL']",I hope it is good
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'HH', 'AE', 'V', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL']",You have family
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'HH', 'AE', 'V', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL']",You have family
"Translate phoneme to English sentence: ['AA', 'R', 'SIL', 'Y', 'UW', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'TH', 'ER', 'S', 'T', 'IY', 'SIL']",Are you very thirsty
"Translate phoneme to English sentence: ['AA', 'R', 'SIL', 'Y', 'UW', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'TH', 'ER', 'S', 'T', 'IY', 'SIL']",Are you very thirsty
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL']",My family is going
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL']",My family is going
"Translate phoneme to English sentence: ['D', 'UW', 'SIL', 'DH', 'EY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'M', 'AY', 'SIL', 'K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER', 'SIL']",Do they have my computer
"Translate phoneme to English sentence: ['D', 'UW', 'SIL', 'DH', 'EY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'M', 'AY', 'SIL', 'K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER', 'SIL']",Do they have my computer
"Translate phoneme to English sentence: ['N', 'AA', 'T', 'SIL', 'R', 'AY', 'T', 'SIL']",Not right
"Translate phoneme to English sentence: ['N', 'AA', 'T', 'SIL', 'R', 'AY', 'T', 'SIL']",Not right
"Translate phoneme to English sentence: ['AA', 'R', 'SIL', 'Y', 'UW', 'SIL', 'IH', 'T', 'SIL']",Are you it
"Translate phoneme to English sentence: ['AA', 'R', 'SIL', 'Y', 'UW', 'SIL', 'IH', 'T', 'SIL']",Are you it
"Translate phoneme to English sentence: ['N', 'OW', 'SIL', 'AY', 'SIL', 'AE', 'M', 'SIL', 'N', 'AA', 'T', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'T', 'AY', 'ER', 'D', 'SIL']",No I am not very tired
"Translate phoneme to English sentence: ['N', 'OW', 'SIL', 'AY', 'SIL', 'AE', 'M', 'SIL', 'N', 'AA', 'T', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'T', 'AY', 'ER', 'D', 'SIL']",No I am not very tired
"Translate phoneme to English sentence: ['HH', 'AH', 'L', 'OW', 'SIL']",Hello
"Translate phoneme to English sentence: ['HH', 'AH', 'L', 'OW', 'SIL']",Hello
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'IH', 'T', 'SIL', 'R', 'AY', 'T', 'SIL', 'HH', 'IY', 'R', 'SIL']",I have it right here
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'IH', 'T', 'SIL', 'R', 'AY', 'T', 'SIL', 'HH', 'IY', 'R', 'SIL']",I have it right here
"Translate phoneme to English sentence: ['P', 'L', 'IY', 'Z', 'SIL', 'T', 'EH', 'L', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'AY', 'SIL', 'N', 'IY', 'D', 'SIL', 'M', 'AY', 'SIL', 'G', 'L', 'AE', 'S', 'AH', 'Z', 'SIL']",Please tell my family I need my glasses
"Translate phoneme to English sentence: ['P', 'L', 'IY', 'Z', 'SIL', 'T', 'EH', 'L', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'AY', 'SIL', 'N', 'IY', 'D', 'SIL', 'M', 'AY', 'SIL', 'G', 'L', 'AE', 'S', 'AH', 'Z', 'SIL']",Please tell my family I need my glasses
"Translate phoneme to English sentence: ['IH', 'Z', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL', 'AH', 'P', 'SIL']",Is my family going up
"Translate phoneme to English sentence: ['IH', 'Z', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL', 'AH', 'P', 'SIL']",Is my family going up
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'OW', 'P', 'SIL', 'Y', 'UW', 'SIL', 'D', 'UW', 'SIL', 'N', 'AA', 'T', 'SIL', 'N', 'IY', 'D', 'SIL', 'N', 'ER', 'S', 'SIL']",I hope you do not need nurse
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'OW', 'P', 'SIL', 'Y', 'UW', 'SIL', 'D', 'UW', 'SIL', 'N', 'AA', 'T', 'SIL', 'N', 'IY', 'D', 'SIL', 'N', 'ER', 'S', 'SIL']",I hope you do not need nurse
"Translate phoneme to English sentence: ['IH', 'Z', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'HH', 'AH', 'NG', 'G', 'R', 'IY', 'SIL']",Is my nurse hungry
"Translate phoneme to English sentence: ['IH', 'Z', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'HH', 'AH', 'NG', 'G', 'R', 'IY', 'SIL']",Is my nurse hungry
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'AA', 'R', 'SIL', 'N', 'AA', 'T', 'SIL', 'K', 'AH', 'M', 'IH', 'NG', 'SIL', 'HH', 'IY', 'R', 'SIL']",They are not coming here
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'AA', 'R', 'SIL', 'N', 'AA', 'T', 'SIL', 'K', 'AH', 'M', 'IH', 'NG', 'SIL', 'HH', 'IY', 'R', 'SIL']",They are not coming here
"Translate phoneme to English sentence: ['W', 'AH', 'T', 'SIL', 'IH', 'Z', 'SIL', 'K', 'AH', 'M', 'F', 'ER', 'T', 'AH', 'B', 'AH', 'L', 'SIL']",What is comfortable
"Translate phoneme to English sentence: ['W', 'AH', 'T', 'SIL', 'IH', 'Z', 'SIL', 'K', 'AH', 'M', 'F', 'ER', 'T', 'AH', 'B', 'AH', 'L', 'SIL']",What is comfortable
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'AA', 'R', 'SIL', 'DH', 'EY', 'SIL', 'K', 'AH', 'M', 'IH', 'NG', 'SIL', 'AH', 'P', 'SIL']",How are they coming up
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'AA', 'R', 'SIL', 'DH', 'EY', 'SIL', 'K', 'AH', 'M', 'IH', 'NG', 'SIL', 'AH', 'P', 'SIL']",How are they coming up
"Translate phoneme to English sentence: ['AE', 'M', 'SIL', 'AY', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL']",Am I going
"Translate phoneme to English sentence: ['AE', 'M', 'SIL', 'AY', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL']",Am I going
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'AA', 'R', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL']",They are going
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'AA', 'R', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL']",They are going
"Translate phoneme to English sentence: ['N', 'OW', 'SIL', 'P', 'L', 'IY', 'Z', 'SIL']",No please
"Translate phoneme to English sentence: ['N', 'OW', 'SIL', 'P', 'L', 'IY', 'Z', 'SIL']",No please
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'D', 'UW', 'SIL', 'DH', 'EY', 'SIL', 'D', 'UW', 'SIL', 'IH', 'T', 'SIL', 'HH', 'IY', 'R', 'SIL']",How do they do it here
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'D', 'UW', 'SIL', 'DH', 'EY', 'SIL', 'D', 'UW', 'SIL', 'IH', 'T', 'SIL', 'HH', 'IY', 'R', 'SIL']",How do they do it here
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'D', 'UW', 'SIL', 'N', 'AA', 'T', 'SIL', 'K', 'L', 'IY', 'N', 'SIL', 'IH', 'T', 'SIL', 'AH', 'P', 'SIL']",You do not clean it up
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'D', 'UW', 'SIL', 'N', 'AA', 'T', 'SIL', 'K', 'L', 'IY', 'N', 'SIL', 'IH', 'T', 'SIL', 'AH', 'P', 'SIL']",You do not clean it up
"Translate phoneme to English sentence: ['DH', 'AE', 'T', 'SIL', 'IH', 'Z', 'SIL', 'N', 'AA', 'T', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'G', 'UH', 'D', 'SIL']",That is not very good
"Translate phoneme to English sentence: ['DH', 'AE', 'T', 'SIL', 'IH', 'Z', 'SIL', 'N', 'AA', 'T', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'G', 'UH', 'D', 'SIL']",That is not very good
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'AA', 'R', 'SIL', 'K', 'AH', 'M', 'IH', 'NG', 'SIL', 'HH', 'IY', 'R', 'SIL']",You are coming here
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'AA', 'R', 'SIL', 'K', 'AH', 'M', 'IH', 'NG', 'SIL', 'HH', 'IY', 'R', 'SIL']",You are coming here
"Translate phoneme to English sentence: ['IH', 'Z', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'OW', 'K', 'EY', 'SIL']",Is my nurse okay
"Translate phoneme to English sentence: ['IH', 'Z', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'OW', 'K', 'EY', 'SIL']",Is my nurse okay
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'L', 'AY', 'K', 'SIL', 'M', 'Y', 'UW', 'Z', 'IH', 'K', 'SIL']",You like music
"Translate phoneme to English sentence: ['Y', 'UW', 'SIL', 'L', 'AY', 'K', 'SIL', 'M', 'Y', 'UW', 'Z', 'IH', 'K', 'SIL']",You like music
"Translate phoneme to English sentence: ['D', 'UW', 'SIL', 'AY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'M', 'Y', 'UW', 'Z', 'IH', 'K', 'SIL']",Do I have music
"Translate phoneme to English sentence: ['D', 'UW', 'SIL', 'AY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'M', 'Y', 'UW', 'Z', 'IH', 'K', 'SIL']",Do I have music
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER', 'SIL', 'IH', 'Z', 'SIL', 'G', 'UH', 'D', 'SIL']",My computer is good
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER', 'SIL', 'IH', 'Z', 'SIL', 'G', 'UH', 'D', 'SIL']",My computer is good
"Translate phoneme to English sentence: ['W', 'AH', 'T', 'SIL', 'Y', 'UW', 'SIL', 'AA', 'R', 'SIL']",What you are
"Translate phoneme to English sentence: ['W', 'AH', 'T', 'SIL', 'Y', 'UW', 'SIL', 'AA', 'R', 'SIL']",What you are
"Translate phoneme to English sentence: ['W', 'EH', 'R', 'SIL', 'Y', 'UW', 'SIL', 'AA', 'R', 'SIL']",Where you are
"Translate phoneme to English sentence: ['W', 'EH', 'R', 'SIL', 'Y', 'UW', 'SIL', 'AA', 'R', 'SIL']",Where you are
"Translate phoneme to English sentence: ['IH', 'Z', 'SIL', 'IH', 'T', 'SIL', 'N', 'AA', 'T', 'SIL', 'G', 'UH', 'D', 'SIL']",Is it not good
"Translate phoneme to English sentence: ['IH', 'Z', 'SIL', 'IH', 'T', 'SIL', 'N', 'AA', 'T', 'SIL', 'G', 'UH', 'D', 'SIL']",Is it not good
"Translate phoneme to English sentence: ['P', 'L', 'IY', 'Z', 'SIL', 'T', 'EH', 'L', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'AY', 'SIL', 'AE', 'M', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL', 'AH', 'P', 'SIL']",Please tell my nurse I am going up
"Translate phoneme to English sentence: ['P', 'L', 'IY', 'Z', 'SIL', 'T', 'EH', 'L', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'AY', 'SIL', 'AE', 'M', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL', 'AH', 'P', 'SIL']",Please tell my nurse I am going up
"Translate phoneme to English sentence: ['D', 'UW', 'SIL', 'DH', 'EY', 'SIL']",Do they
"Translate phoneme to English sentence: ['D', 'UW', 'SIL', 'DH', 'EY', 'SIL']",Do they
"Translate phoneme to English sentence: ['AY', 'SIL', 'B', 'R', 'IH', 'NG', 'SIL', 'IH', 'T', 'SIL', 'R', 'AY', 'T', 'SIL', 'AH', 'P', 'SIL']",I bring it right up
"Translate phoneme to English sentence: ['AY', 'SIL', 'B', 'R', 'IH', 'NG', 'SIL', 'IH', 'T', 'SIL', 'R', 'AY', 'T', 'SIL', 'AH', 'P', 'SIL']",I bring it right up
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'AA', 'R', 'SIL', 'N', 'AA', 'T', 'SIL']",They are not
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'AA', 'R', 'SIL', 'N', 'AA', 'T', 'SIL']",They are not
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL', 'HH', 'IY', 'R', 'SIL']",My family is going here
"Translate phoneme to English sentence: ['M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL', 'G', 'OW', 'IH', 'NG', 'SIL', 'HH', 'IY', 'R', 'SIL']",My family is going here
"Translate phoneme to English sentence: ['N', 'AA', 'T', 'SIL', 'DH', 'AE', 'T', 'SIL', 'B', 'AE', 'D', 'SIL']",Not that bad
"Translate phoneme to English sentence: ['N', 'AA', 'T', 'SIL', 'DH', 'AE', 'T', 'SIL', 'B', 'AE', 'D', 'SIL']",Not that bad
"Translate phoneme to English sentence: ['AY', 'SIL', 'F', 'IY', 'L', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'G', 'UH', 'D', 'SIL']",I feel very good
"Translate phoneme to English sentence: ['AY', 'SIL', 'F', 'IY', 'L', 'SIL', 'V', 'EH', 'R', 'IY', 'SIL', 'G', 'UH', 'D', 'SIL']",I feel very good
"Translate phoneme to English sentence: ['W', 'AH', 'T', 'SIL', 'IH', 'Z', 'SIL', 'IH', 'T', 'SIL', 'W', 'EH', 'R', 'SIL']",What is it where
"Translate phoneme to English sentence: ['W', 'AH', 'T', 'SIL', 'IH', 'Z', 'SIL', 'IH', 'T', 'SIL', 'W', 'EH', 'R', 'SIL']",What is it where
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'T', 'EH', 'L', 'SIL', 'Y', 'UW', 'SIL']",They tell you
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'T', 'EH', 'L', 'SIL', 'Y', 'UW', 'SIL']",They tell you
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'T', 'EH', 'L', 'SIL', 'Y', 'UW', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'IH', 'Z', 'SIL', 'K', 'AH', 'M', 'F', 'ER', 'T', 'AH', 'B', 'AH', 'L', 'SIL']",They tell you my nurse is comfortable
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'T', 'EH', 'L', 'SIL', 'Y', 'UW', 'SIL', 'M', 'AY', 'SIL', 'N', 'ER', 'S', 'SIL', 'IH', 'Z', 'SIL', 'K', 'AH', 'M', 'F', 'ER', 'T', 'AH', 'B', 'AH', 'L', 'SIL']",They tell you my nurse is comfortable
"Translate phoneme to English sentence: ['K', 'L', 'IY', 'N', 'SIL', 'AH', 'P', 'SIL', 'P', 'L', 'IY', 'Z', 'SIL']",Clean up please
"Translate phoneme to English sentence: ['K', 'L', 'IY', 'N', 'SIL', 'AH', 'P', 'SIL', 'P', 'L', 'IY', 'Z', 'SIL']",Clean up please
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'TH', 'ER', 'S', 'T', 'IY', 'SIL', 'AE', 'M', 'SIL', 'AY', 'SIL']",How thirsty am I
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'TH', 'ER', 'S', 'T', 'IY', 'SIL', 'AE', 'M', 'SIL', 'AY', 'SIL']",How thirsty am I
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'T', 'AY', 'ER', 'D', 'SIL', 'IH', 'Z', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL']",How tired is my family
"Translate phoneme to English sentence: ['HH', 'AW', 'SIL', 'T', 'AY', 'ER', 'D', 'SIL', 'IH', 'Z', 'SIL', 'M', 'AY', 'SIL', 'F', 'AE', 'M', 'AH', 'L', 'IY', 'SIL']",How tired is my family
